question|answer
"Best professor for any CS class you'd take. Not only does he help us understand the chapters correctly, but he's also a nice and caring guy who wishes for the best for us. Recommend having him for other classes to make your workload a bit easier, although I would also be careful of unexpected pop quizzes he'd give out at any point in time."| "1.0, 0.5"
"This professor is the epitome of terrible. Uses thousands of slides with petty little things you need to remember in each one. Lectures are made as boring as possible. Do not take this professor if you don't have coding experience. Exams are MCQ and coding on paper, super difficult. By far the worst professor I've ever had."| "-1.0, -1.0"
"One of the best professors I have ever had. Lectures are little slow but they are not boring either. If you listen to him, you will fine for quizzes and exams. Homeworks were easy too. Posts slides on elearning as well, so if missed any note you will be fine."| "1.0, 0.5"
"Prof. Karrah is an amazing professor and I strongly recommend him for this course. Professor Karrah genuinely cares about his students and is very accessible. He has pop quizzes towards the end of the semester, but as long as you take notes and pay attention, you should be fine. His review sessions are helpful and his exams are pretty easy."| "1.0, 0.5"
"Prof. Karrah always made lectures interesting and engaging. Class participation is encouraged. Lab assignments are easy and only take an hour or so a week. Beware of pop quizzes late in the semester. Quizzes and exams have no surprises. Pay attention to the review lecture"| "1.0, -0.0"
"I am very glad I took Professor Karrah for this class. Even though I knew a bit about programming, this class helped me understand the concepts much better than before. He's very informative, easy to reach, and his labs, pop quizzes, and tests aren't super difficult as long as you attend his lectures and don't fall behind."| "1.0, -0.0"
"Professor Karrah was an amazing lecturer and was good at explaining the concept and liked answering questions. He does give pop quizzes on paper to test your knowledge. If you read and practice outside of class, you will do well on the pop quizzes. In addition, he gives labs and expects you to complete them in a week. He even hosts review for exams"| "0.5, -0.0"
"He's a really good professor for intro to CS. I strongly recommend him for CS intro to programming. He is always helpful and available during his office hours. He will help you learn something you are confused about. He gives pop quizzes but they help you ngl. Do the work, and you'll pass."| "1.0, -0.5"
"He was prob. one of my favorite professors. His lectures were really interesting and nice to listen to. The class is pretty easy, as long as you pay attention in class. There was also no assigned hw, just labs to do each week, and he gives a week to complete them. He's also vry accessible. (don't be afraid to ask for help)."| "1.0, 1.0"
"If you listen to his lectures, do all his homework, and actually understand code, you're guaranteed an A. He's clear in everything he says and all he wants is for you to care and work hard. He's so easy to reach and he does not mind sitting with you for an entire hour to help you with homework. Please attend his review and lectures! He deserves it."| "1.0, -0.0"
"His lectures are amazing. He takes pop quizzes but will tell you well in advance to be prepared. His mid-term was very easy but the final was a little tough. Overall amazing professor."| "1.0, 0.5"
"Unorganized. He wasn't supposed to teach 1334 but got assigned to it anyway. Labs were harder than homework. He struggles to explain how to go about some codes with the students. His teaching style worked for me, but many would disagree. I did well because I did the Khan assignments, took notes in class, and saved the examples shown in class."| "0.5, -0.0"
"This class wasn't difficult, the professor just didn't seem to care. Everything was done on Khan Academy. I reached out about people taking my work, and just replied with the TA's emails and told me to take it up with them. He decided to start adding pop quizzes near the end of the semester despite there being NOTHING in his syllabus about them."| "-1.0, 0.5"
"Lectures were great, and Professor Karrah really cares about his students. Homework was not too difficult, and the professor hosted reviews for exams (also not difficult) on weekends. If you have no background in programming, take this class! If you already have experience with programming, take this class! You will not be disappointed."| "1.0, 0.5"
"This professor has amazing slides, and the right amount of difficultly when it comes to homework. Everything that you'll probably need to learn or know in the class will be from these slides. He also explains in a clear and concise manner about how it works or why it doesn't. Overall, a great professor and person to talk to."| "1.0, 0.5"
"Karrah is a great professor and his class is pretty easy. Attend lectures + pay attention and you can get an A/B with no programming experience. Goes over concepts well and cares about the success of his students. The lectures can be monotone at times so it might be hard to focus. Handwritten code isnt bad if you know your stuff. Was a great class."| "1.0, 0.5"
"Professor Karrah is amazing. His lectures are helpful to understand the concepts. His exams and pop quizzes require writing codes which I think relevant to this programming course. He gives chances to retake the quizzes and coding section of the exam. I would recommend taking his class, specially if anyone is new to programming."| "1.0, -0.0"
"Maybe 4 HW assignments total, maybe 5 pop quizzes (hand written code), and 2 major tests. His slides are very straight to the point informative with examples. Completely dropped the final exam for some reason."| "1.0, -0.0"
"Prof. Karrah is a good professor. His grading is fair, he will let you correct your exams and pop quizzes. Make sure you understand code as he will make you hand write it in exam. Reachable outside of class and answers all questions during lecture. I would take him for all my CS classes if I could. Read the textbook/study before class it will help"| "1.0, -0.0"
"Take this professor. Period. He is one of the best in the department"| "1.0, -0.0"
"Professor Dabkowski is one of the best professors I've ever had at UT Dallas. MATH 4301 is a tough course, and the weekly homework can sometimes be over 10 pages long, but he made it worth it. He's accessible outside of class during office hours, and his lecture style is excellent for understanding the proofs and concepts."| "1.0, -0.0"
"Professor Dabkowski is one of the nicest professors I've ever had, and his lectures are fun and engaging. He publishes his notes for the lectures so you can review them or catch up on anything you missed. MATH 3310 is basically proving most theorems from single-variable calculus, as well as some other concepts like set theory and the real numbers."| "1.0, -0.0"
"Dabkowski's classes can be hard, but he is a great teacher who cares about his students. He's funny too! Very accessible outside class, great at providing help, and is generally accommodating if you need extra time on assignments. If you are a Math student, take as many classes with him as possible! Only minor downside is that he's not tech-savvy."| "1.0, -0.5"
"I wasn't even in his class but I was attending it. Professor Dabkowski is the sweetest. If you study and show that you care, he will look so happy to see you al the time. He's very caring and helpful. He gives so much time for his students and does really good reviews. Calculus is hard but he's an amazing teacher."| "1.0, -0.0"
"He did an amazing job teaching this course, his examples are very relevant to the homework and the tests, and when we neared the final he did review sessions every friday! Hands down one of the best professors I have ever had."| "1.0, -0.0"
"He's a nice guy but he goes way too fast in lecture. Calc 2 is already extremely hard and the pace at which he goes just isn't tolerable for me. The examples he does in class don't coincide with the homework or the quizzes either."| "0.0, -0.5"
"Professor Dabkowski generally teaches in a very understandable way, but the content of his courses is incredibly difficult so it can still be tough. His homework is a lot of work, but it prepares you very well for the exams, which are usually nowhere near as difficult as the HW. Great in office hours, and clearly cares a lot about his students."| "1.0, -0.5"
"In summer 22, we had open note, open book exams, part take home, part in class. He posts elearning participation quizzes after each class which sometimes take a while but have unlimited attempts. His homeworks are doable and he posts notes and helpful hints for it. He gives many extensions if you just ask and he is very caring and considerate."| "0.5, -0.0"
"His lectures can be difficult to follow since it is a hard class, but the notes he posts are great. He is very nice and gives homework extensions fairly often. Participation quizzes take a long time especially when there are mark all that apply options. Exams are moderately difficult but are open note. He is also very energetic - you will love him."| "1.0, -0.5"
"Professor Dabkowski is a really nice person, and you can really tell that he cares about the students. However, I felt like he rushed through lectures or skipped steps when writing out explanations. I think he was a little difficult for a general mathematics course, but he always has a really good attitude."| "0.0, -0.0"
"He loves what he teaches, and you can see it in the way when he smiles when he finishes explaining a concept on the white board. Lectures can be a bit confusing sometimes though! He cares deeply about his students, and will carve out time in his day to meet with you if you don't understand anything. UTILIZE HIS EAGERNESS TO HELP YOU :)"| "1.0, -0.0"
"Dr. Dabkowski really loves to teach and is very passionate about math. During his lectures he gives some insight as to why things are in math. Before each of the tests he reviews certain topics we will need to know, and has review sessions during his office hours. He posts lots of (optional) reviews you can do to help your understanding of topics."| "1.0, 0.5"
"One of the most amazing prof at UTD. He can make hard concepts interesting and easy to grasp. His lectures can be fast paced sometimes but after the first week, you will get used to it. There was an online quiz after each lecture, but it was doable (unlimited attempts). If you need help, don't hesitate to go to his office hours."| "1.0, 0.5"
"Great professor, take him if you have the option for Analysis I. I've had the pleasure of taking him in the COVID-precaution era, so take-home open-note exams are the standard (3 total). Homeworks are a bit time consuming but helpful for exams. Read the lecture notes he posts and you should be fine."| "1.0, -0.0"
"Professor Dabkowski is a very good Calculus teacher -- one of the best in the department. He is very flexible with deadlines for participation quizzes and genuinely cares about his students. He is very helpful and knows a lot about his subject. MATH2413 as a class has lots of hw, but that's not exclusive to him."| "1.0, -0.0"
"Took Dabkowski Fall 2020 and he was a great teacher. He is super helpful in office hours and responsive to students outside of class. The class itself was probably the most work I have ever done because we had online hw after each class, on top of weekly hw. Big time commitment. But, he sets it up so that if you work hard, you will get a good grade"| "1.0, -1.0"
"Dr. Dab is an amazing and understanding professor. He lets you retake tests if you need a better grade, and he often extends deadlines if you request it. He is a great lecturer, and it is obvious that he is very knowledgable and passionate about what he teaches."| "1.0, 0.5"
"Dr. Dabkowski is the best professor I have taken at UTD so far- he makes a really difficult subject fun to learn. He is incredibly understanding, cares about his students, and is a truly a wonderful human (who is also great at teaching)! 10/10 would take this class again!!"| "1.0, 0.5"
"I took him a couple semesters ago. He has a really special way of making hard concepts simple - and if you don't get it the first time, he will explain things again and it's still a great explanation. One of my favorite professors at all of UTD."| "1.0, -0.0"
"This class is a lot of work, but the tests were easy. He is very experienced in IMS, but he is a bad teacher. He goes off topic so much that at the end of the semester he was so behind he had to take off 2 chapters from the test. Hw would be due that were several chapters ahead of what he had gone over in class. He hardly answered emails."| "-1.0, -0.5"
"Valid professor, but too much work, but not to the point where you wanna drop out. He has 10 homeworks, 2 exams and take-home essays (NOT-cumulative), and one huge group project. He's pretty lenient, but he'll throw out mini projects and activities around the end of the semester. The homeworks are the easiest of all, so fill free to work ahead."| "0.5, 0.5"
"DO NOT TAKE. Assigns surprise group presentations throughout the semester. Doesn't actually lecture, just wastes time talking about his opinions on random events. Grades ridiculously tough for essays. I gained nothing from this class. He does not respect our time as students. Makes what could be a relatively easy/interesting class difficult/boring."| "-1.0, -1.0"
"Lectures can be a bit long at times, but he is very knowledgeable about the topics he lectures on. Pretty standard class structure, a few exams, papers, and one final group presentation. Not the easiest class but if you pay attention and do the work you should be fine."| "0.5, -0.0"
"This professor was nice and gave interesting lectures but posted no review or guide as to what was on the exam. Assigns 1 page writing for hw every week and it's not relevant to the exam. He's ok as a professor but way too much busy work"| "-0.5, 0.5"
"Professor Zydorek is a solid professor. He is very knowledgeable and uses real life examples when teaching. Weekly homework wasn't bad, one big group project, 2 Exams each with a take home essay. I thought his grading was fair, this isn't high school its a college class designed to prepare you for the real world. Learned a lot, would take again."| "0.5, -0.0"
"I had this professor for the honors section and I normally never post on rate my professor so take that into consideration.  This professor is heavy on lectures and his grading can be subjective on things like essays and group projects. Don't take him in the morning or at night because he will bore you to sleep."| "-1.0, -0.0"
"This professor is really difficult to understand, and his exam structure is terrible. He always puts "E: None of the above" to give students a heart attack and anxious about answering questions. And also: HE DOES NOT CURVE GRADES. Be careful what you do if you take this class."| "-1.0, -1.0"
"Professor was not clear with the presentation slides and was of no help for the exams. Emailing him was a nightmare as it took days for him to respond, after 2-3 follow-up emails! Extra Credit assignments were useless as they did barely anything to the overall grade. Look for another professor, and avoid this one!"| "-1.0, -1.0"
"Professor was not clear with the exams and does not provide any clear guidelines on what to do. Exams were not structured fairly and did not provide any review sheet or class session to help those in need. TA was also very tough and a harsh grader. The group project was a waste of time as well."| "-1.0, -1.0"
"This professor has been difficult to understand as he only goes through the presentation slides on the chapters, which can be easily done in a week. The professor's exams are also complicated and hard to understand, as he is not clear on what is on the exam. There are no review sheets or papers or review days. Find another professor!"| "-1.0, -1.0"
"The professor has been quite bland, as he has been unengaging with his dry presentations. A meaningless group project, alongside tough exams with no review paper or review day, made this class difficult for me and other students. Please avoid this professor if possible!"| "-1.0, -1.0"
"Very heavy emphasis on group projects and essays. Luckily, I had a good group. Interesting lectures, but class material doesn't really connect to papers/tests. The TA is a tough grader, I never felt like I could do well enough."| "1.0, -0.5"
"Good professor. 2 exams that you can do good in if you read slides and the textbook. There's one group project that is vital to your grade, so make sure you take it seriously. Offers extra credit"| "0.5, 0.5"
"Passionate professor who gives solid feedback and career advice, as international business opened my eyes to the opportunity of working outside of the U.S. The group project was enjoyable and kept a balance between the homework assignments and tests. Even though lectures were sometimes boring, you should be fine as long as you memorize the slides!"| "0.5, -0.0"
"He is a nice guy overall, very passionate about IMS. He can offer a lot of advice out of class too. Class is a bit tough, weekly homework from textbook (easy but you need to read) two exams (multiple choice and essay for both) one big group project (be very thorough in this) overall fine class, makes you thing about international opportunities"| "0.5, -0.5"
"Great, caring professor. He is very passionate on the topic and gave me lots of career advice outside of class. Some lectures are hit or miss, but you will do very well on exams if you memorize powerpoints and read bits of the textbook."| "1.0, -0.0"
"his lectures can be boring at times but overall good dude who cares about international business. He gives extra credit which is nice"| "1.0, 0.5"
"Organized and Professional. Great passionate and knowledgeable teacher who really helps you understand business in other nations. 1 Group Project, 1 page HW assignment/week, 2 Tests/Essays, Study his slides for the test and you'll be good. Wish he taught more classes, he made class engaging and interesting."| "1.0, -0.0"
"Professor Zydorek is very passionate about this course. He is very reputable, kind, and helpful. Weekly assignments (super easy), 2 tests (with essays), one big group project, along with few and simple in class assignments. Make sure to study for his tests and you'll easily get an A-B"| "1.0, -0.0"
"Class was very straightforward. Weekly homework and 4 exams. There is a 50 point leeway so it's relatively easy to get a good grade in the class. Just make sure you stay on top of things. Never met her in-person but she's nice."| "0.5, -0.0"
"I loved her class! It was so organized! She is always willing to talk to students and help them. She wants to help students grow in and out of her class. The class is fairly easy if you just do the readings and the homework! The exams are not bad, because she prepares you for them! The TA usually has a review a week before the exam."| "1.0, 0.5"
"I love the way the course is formatted! Her points-based system is great. The final exam is optional, but I recommend taking it because it basically acts as an extra credit assignment (up to 50 points) and will not lower your overall grade no matter how bad you do on it. As long as you keep up with the work on a weekly basis, you should do well!"| "1.0, 0.5"
"I took an online section of research design and analysis. If you keep up with the work each week, you'll do fantastic. Exams are very similar to the learning activities, which come straight from the textbook/smartbook hw. The final is optional and basically acts as a bonus 50 points if you want to add more points to your grade. No stress at all."| "0.5, 0.5"
"Professor Grant was an amazing lecturer. Her class was online, there were smart book assignments, exams, and learning activities which were extremely easy and fun to do. She was very nice and caring when it came to helping students. I would definitely recommend everyone to take her class, it is an easy A."| "1.0, 1.0"
"Great professor! She is kind, easy and I learned a lot. For online, you have a smartbook which some of them were very long, a quiz and a learning activity that was like a test. Pretty easy. No late work though, she only allows one pass."| "1.0, 0.5"
"Although this class was online and I never met Dr. Grant, from her videos she is a very nice lady and really a great professor. This class was not my favorite just because the material, but I love the way Dr. Grant set up assignments. Usually just a smartbook activity and learning activity every week. There are exams, but everything is open note!"| "1.0, 0.5"
"She is one of the best professors I have had at UTD. She had clear grading criteria, gave a good amount of assignments, and graded nicely. Her exams and learning activities were also easy and accessible to complete. She is also such a sweet, kind person. She was always ready to help and truly cared for her students. She is truly a gem of a person."| "1.0, 1.0"
"She is truly a gem! Took her for a special topics course and I just can't say enough good things about her and the class. She didn't make anything unnecessarily difficult, which made the class enjoyable. Very organized course with clear instructions and grading criteria. She is extremely understanding and cares about students!! Take her classes!!"| "1.0, 0.5"
"Professor Grant is a wonderful professor. I could genuinely tell that she likes to teach this class. Her exams are not too bad if you take good notes because her exams were open note/textbook. 95% of the reading in this course comes from the textbook. The other 5% is from extra resources that were provided for the weekly learning activities."| "1.0, -0.5"
"The system in the class is such that you can choose which assignments to do, and if you do enough, the final is worth 10% of your grade. Everything was open note, I aced the final, and got an A+ without doing a single writing/discussion board assignment. There are several opportunities to get a good grade, and the lectures provided are digestible."| "1.0, 1.0"
"Dr. Grant is truly a gem. She made research so much more accessible for me through her teaching. She answered every question with enthusiasm & was so willing to support her students. She literally did WHATEVER she could to ensure we would succeed. The class is just work-heavy enough to make sure you LEARN - nothing more. Cant say enough about her!"| "1.0, -0.0"
"Dr. Grant seemed caring. I wish I had her in-person. She obviously tries her best to provide you what you need to succeed. Her class (at least online) used a points system, so there were many activities you could do to add up to the grade you want (you pick and choose which you want). Also some extra credit available. Online textbook was helpful :)"| "0.5, 0.5"
"Dr. Grant is great, I enjoyed her class and I learned alot."| "1.0, -0.0"
"Dr. Grant was AMAZING and very knowledgeable about Research Design. The exams can be a bit challenging, but if you attend class and take notes to fill in the PowerPoint blanks and add extra notes for the things she says, you'll be fine. The activities are hard, but if you're specific and detailed on your activities you'll earn the full points too."| "1.0, -0.0"
"She was an amazing professor. Her test were super easy compared to the activities (at the beginning at least). She will tell you that other students suggest making flashcards and I would listen. Lectures were interesting."| "0.5, 0.5"
"Her tests are incredibly hard. You have to memorize ALL the PowerPoints, the things she says, and any little comments throughout the lecture. So word of advise If you end up taking this class would be to read the test questions multiple times, and pay attention to detail because they're tricky! Wouldn't recommend or take a class with her again!"| "-1.0, -1.0"
"Exams were tough, lots of application type questions. Not my favorite material or professor."| "0.5, -0.5"
"Don't even bother reading the book for this class. Her exams come straight from the PP. You just need the lecture notes. I read the book and took extra notes that did me more harm than good. Her tests are tricky so know the material. You may think you understand the material, but the exams will have you feeling like you don't really know anything."| "1.0, -0.5"
"READ THE TEXTBOOK! To be fair, the material she's teaching is hard. BUT, her tests are extremely challenging. 4 exams, drops one + mandatory cumulative final. 8 in-class activities (really tricky) and 3 assignments (pretty easy). Since your grade isn' based soley on the exams you have a chance to do well but the class is hard."| "0.0, -0.5"
"If you attend class and pay attention, its really hard to do bad in her classes. This is my second course with Raboune and I can't wait to take another. Definitely one of my favorite professors at UTD!"| "1.0, -0.0"
"I took her over the summer and really loved the class. Dr. Raboune explained things very well and explained further if you just ask. She is honestly so sweet and she actually cares for her students. She gave extra credit and the extra credit was her just wanting us to study. I loved her so much. I learned so much this summer from this class."| "1.0, 0.5"
"Great professor at explaining tough concepts!"| "1.0, -0.0"
"I have a love hate relationship with Dr. Raboune. Her exams are basically from the slides but MAKE SURE YOU UNDERSTAND THE FIGURES. It's not a crazy hard class but sometimes she would contradict herself and so content would get confusing- just stick to the slides. Had random EC in class. Final is questions from old exams. I never read textbook."| "-0.5, -0.5"
"Very inconsistent, tests have typos, answers for questions on slides aren't set in stone, and is just up to what she feels like saying that day. What frustrated me is that the tests have typos, but then the reason one answer is better than another on a test is because of a one word difference. Half the information on the slides is irrelevant."| "-0.5, -0.0"
"Dr. Raboune is a great professor. She helped me a lot to be able to keep up with the content. She really wants her students to succeed , she was always willing to meet outside class to go over the material and gives advise on how to study."| "1.0, -0.0"
"I think she's a great professor with an extensive knowledge in neuro. Her class is easy to succeed in if you keep up. It is a lot of studying but I found it very interesting and worth it. She sometimes gives extra credit in class. There were multiple times when she wasn't at office hours and was inaccessible through email, so don't count on that."| "0.5, 0.5"
"She is a good professor and is very educated on what she teaches, but it is difficult to study for the exams. Her lecture slides aren't very clear on what you should study and what you should not study. The exams itself are not too bad, but I would never do as good as I thought I did. Exams are worth 85% of your grade, so it is very exam heavy."| "0.0, -0.5"
"She's a great Professor and she really cares about her students."| "1.0, 0.5"
"I was honestly really disappointed this semester. I had seen her reviews as really good and was excited to learn Cellular Neuro, but her class was unorganized. Maybe it is only this class, but she seems very unenthusiastic about the information. She is honestly not a great lecturer andher lecture slides were really bad so it was hard to study for."| "-0.5, -0.0"
"You got to be prepare to work hard for this course! There is a lot information to cover and for me this was the second neuro class but if you attend class and go to office hours you can do good! She is very helpful"| "0.5, -0.0"
"Neuropharm w her is moderately difficult and test-heavy. Exams are meticulous. Her lecture style is a little hard to follow but all of the information you need should be in the Powerpoints. She is very kind and will gladly encourage you and help you understand things if you need it."| "0.5, -0.5"
"NEURO LAB METHODS - idk why NSC 4353 is not an option to select, but overall she is probably the best professor to take for this course. When she grades your essays, she fixes each sentence and tells you exactly what to improve on. Only issue is - she is not good at responding to emails and has bad time management (grades things super late)."| "0.5, 0.5"
"Dr. Raboune is a very kind professor, but her lectures can be quite contradictory to information on the test. To prepare for the test, you should most definitely read the textbook. 15% of your grade is essays, which are easy 100s, so there is good padding for your grade. She also drops the lowest exam."| "0.0, -0.0"
"Difficult to understand. Tests are offered on Elearning and taken in the classroom. Each test is 40-45 multiple choice, T/F questions with a time limit of 45 minutes. She tells you at the beginning that the brain takes no longer than 30 seconds to respond to a question if you know the answer so she is "being generous by allowing a minute.""| "-0.5, -1.0"
"Dr. Raboune is one of my favorite professors. she explained everything in a way that is easy and engaging. i loved her teaching style, she encouraged us to ask questions in class and was always available for office hours. The take home assignment were eye opening to the broad field of neuroscience, I really learned a lot from taking this course."| "1.0, -0.0"
"Dr. Raboune is a decent professor but sometimes she can contradict some of what she teaches on her exams. Good thing is that she offers about 2-5 points of extra credit on the exams. She does take away points from exams if her key is wrong which is stupid on her part. I nearly got a regular A than an A+ because of her clumsiness but not bad."| "0.5, -0.5"
"PROS: nice teacher, tests based on her PPT, drops lowest test grade (including the final) CONS: lectures are bad, her accent is thick, PPT is overwhelming with information (sometimes unnecessary) & office hours are not helpful I don't recommend taking her specifically unless this will be your most important class and you have time to study A LOT"| "0.0, -0.5"
"Dr. Raboune is a fine professor, but her style of teaching can be very contradictory at times. She will give a lecture on one topic, but then on the exam the subject may have different answers than what is presented in class. The textbook is also a place where most exam content tends to be drawn from, so be prepared to read! 15% is essays too."| "0.0, -0.0"
"Go to office hours! Dr. Raboune cares about her students and she will absolutely help you if you show up with a good attitude and take the initiative to improve. Her exams aren't hard but you do have to study. More than anything though, she's just a cool person to learn from. She makes class interactive and gives extra credit. Don't skip class!"| "1.0, 1.0"
"Dr. Wije is so kind and such a good professor. She's so caring and very helpful in lecture and office hours. She explains things in a way that is easy to understand. Ochem is very difficult but Dr. Wije definitely makes it possible to do well."| "1.0, 0.5"
"She is very caring towards her students. She also is very clear what is on tests / quizzes and offers multiple resources for you to succeed."| "1.0, 1.0"
"I took the CHEM 2233 ochem lab that combines ochem 1 and 2 lab into one semester which they changed the ochem labs to now. Lab experiments are easy and Wijie is always available to help. A chill TA can make for a chill semester but this lab isn't super hard in general. Quizzes can be annoying at times but if you study before, you should be fine."| "1.0, 0.5"
"LOVE HER! Not only is she beautiful but she is also kind! The class was very easy, just come in with your pre-lab and read over class notes for the quiz, do post-lab and your good to go! Nothing tricky or hard."| "1.0, 1.0"
""| "1.0, -0.0"
"I loved her lectures and explanations. Most professors would go through topics quite fast, but she goes through everything thoroughly and I loved listening to her. At first, I got the worst grade for exam 2 I have ever gotten in my life, but with Wije's recitations and uploaded reviews, I was able to get a satisfactory final grade!"| "1.0, -0.0"
"I struggled with the first exam and in knowing how to study for this class at the beginning. However, after going to her office hours and taking her advice, the class was significantly easier, and I did well on the second exam and final. Just keep practicing, and don't leave studying until the last minute!"| "1.0, -0.0"
"Easily the best professor I've taken so far. You can tell she wants to build relationships with students. Quizzes are online and open note and all of the slides have recorded lectures. I recommend sitting near the front since its hard to see her drawings from afar. Make sure to go to her virtual workshops and do the practice tests and youll be fine"| "1.0, -0.0"
"Dr. Wije is amazing! Her quizzes are relatively easy compared to other professors (online, open note) and she provides lots of resources to study well for exams. She's a little soft-spoken, so try to sit in the front. Her slides are very well organized. It's clear that she cares about her students. Highly recommend."| "1.0, -0.0"
"take her!!! she is the sweetest and most caring prof on campus and knows how to teach"| "1.0, 0.5"
"One of the best teachers at this school. I hated ochem but really enjoyed being in her class, she's super sweet, great at explaining the material and does a lot of practice to make sure students understand everything. Love this woman more than anything, she deserves the world."| "1.0, 0.5"
"I don't even have this professor but when I was in ochem 1, I would go to her office sometimes when Dr. Pan was busy. She's super caring, very gentle, and will explain things to you slowly so you understand. Gives great advice, too. Absolute sweetheart of a professor!"| "1.0, -0.0"
"Absolutely decked with resources. Her lectures are plenty practice and goes slowly so you understand the stuff, but she also posts prerecorded lectures so you can go at it your own pace. Ochem is hard, but Dr. Wije really sets you up. Can't recommend enough!"| "1.0, 0.5"
"The class was difficult but Wije made it so much easier to understand. You have to put in a lot of effort learning the concepts yourself outside of lecture, but she does lots of examples in class and makes sure that the students understand. She also gives back points on the exams if you explain why you should've gotten them. Best prof I've ever had"| "1.0, 1.0"
"Wije was a great professor for OChem I. The only problem is that her voice is very soft, so it can often be very difficult to hear her. Her quizzes are online, as opposed to Dr. Pan or Dr. Thompson. The homework for this class is not mandatory, and honestly I never did any of it. Just sign up for pltl and do some practice exams and you'll be fine."| "1.0, -0.0"
"watch pre-recorded lectures before class and do as many past exams as you can before the exam. The exams are usually like the past tests so the more of those you do the better! 4 online quizzes (50 points each)  2 tests (200 points each), and one final that replaces the lowest test grade (300 points). The lowest quiz is also dropped."| "1.0, -0.5"
"Dr. Wije is super sweet. It's obvious she wants to help you succeed esp you attend recitation sessions and office hours. Best way to navigate this class is by doing recitation questions, practice exams, and attending class. Ochem is difficult, but it is possible to get an A with Dr. Wije!! The curve is also generous"| "1.0, -0.0"
"She is awesome and made ochem easy for her students. Honestly one of the best professors so far! Do the practice problems in class and the stuff she posts."| "1.0, 0.5"
"TA will make or break your lab. Amazing prof either way, so well put together and intelligent! She carries herself in an amazing way. Could ask her anything about the lab and she'll have a clear, concise answer/solution. The Labs can be lengthy or short, all depends on you."| "1.0, -0.0"
"Amazing professor, was super thorough and answered all questions with a huge smile. Cute accent, easy to understand. Just wished I didn't have as heavy of a courseload so I could have had more time to study for this class. Curve is very generous and wished Dr. Wijenayake taught ochem 2 as well."| "1.0, -0.0"
"Professor Davis actual made a government class bearable for once in my life. Her lectures were great, and the tests were pretty easy, as long as you read the articles and came to class. She gives extra credit for attendance and drops your lowest test grade."| "1.0, 0.5"
"Her lectures are funny and she finds analogies which make the material interesting. You can get extra credit through attendance as well as bonus questions on exams. No assignments at all, grade is determined by exams that are multiple choice (you can also drop your lowest exam). Study her slides and you will get an A."| "1.0, 0.5"
"She's probably one of the best professors I've had here at UTD. The only grades are five tests, and she drops the lowest one. That means if you're satisfied with the grade you have after the first four, you can just not show up to the last test. Her lectures are actually interesting and she's adorable. I definitely recommend her!"| "1.0, 1.0"
"Prof. Davis is very passionate about government. Her class is easy, follow the lectures by using her PPTs (and study the PPTs for tests). She gives extra credit for attendance or gives test questions during class. 5 tests, no homework."| "1.0, 0.5"
"Professor Davis is a very nice lady. Though, her test questions are really wordy and confusing, make sure you study all of her slides especially the ones that you think can be used as a trick question. Her review is useless unless you want a passing grade. There is 1 extra credit for each test, 5 total. No quizzes or attendance requires."| "-0.5, -0.5"
"No homework/attendance policy, only grades are 5 test grades and she drops the lowest. Really easy to follow lectures, she hands out extra credit and answers to test questions just for showing up. Even if you skip class, she posts all the lecture slides online, along with a list of each individual topic that will be covered on the exams."| "1.0, 0.5"
"Excellent professor. 5 tests, but she drops your lowest score. Makes government as engaging as she can to a huge lecture hall. Is generous with the extra credit--just show up every period and you'll be fine. 10/10 would recommend"| "1.0, 0.5"
"Professor Davis is a solid choice for a Political Science professor. She is very accessible outside of class and tries to help her students. She offered test-review sessions outside of class time to help students do better on the tests. If you miss more than 6 times she will drop your grade by one letter grade."| "0.5, -0.0"
"Fun and informative lectures. Struggled at first then learned her style. Definitely should study her lecture slides for exams and you should be fine. EC given generously. Professor Davis is very nice and very responsible for her classes so please show respect. One of the best."| "1.0, 0.5"
"Amazing teacher! All you have to do is show up, listen, and study the powerpoints. Made multiple 100s on test. Great teacher"| "1.0, 0.5"
"She was one of the nicest professors I've taken. Her exams are easy if you look over her power points. I bought her book, but didn't need it, listen in class when she talks about sections from the book."| "1.0, 1.0"
"Everything for her exams come out of her lectures but the exams are easy and she gives extra credit. She really likes the topic and is willing to help people out and is very nice. There's no final and she drops the lowest exam so do well on the first 3 and you don't need to come to class ever again and she is aware and fine with that."| "0.5, 1.0"
"She was an amazing professor, and really seemed interested and passionate about local government which is hard to do. Pay attention in class and you will never have to look at the textbook, exams have extra credit and are super easy, she puts up some exam questions during class so GO TO CLASS!"| "0.5, 1.0"
"Never really knows the answers to the questions students ask. She had 5 tests and drops the lowest one and gives extra credit for attendance and has a lot of bonus points on the exam. Never went to class or read the textbook but the textbook has questions in the back that she sometimes uses. She also gives out a few test questions in class."| "0.5, 0.5"
"Her class is very easy. Attendance not mandatory, she posts all ppts online and that's really all you need, forget the books. Several bonus questions on the exam which she usually tells you what they will be. Exam review has all topics covered in exams."| "1.0, 1.0"
"In between the jumping around through out the lecture, to the immense amount of detail that goes into her exams. She says "read the material".. but when I don't understand the material, I do rely on the professor to explain it more with their lectures. I wouldn't recommend her unless you're readily available to read and purchase 4 books."| "-1.0, -0.5"
"ONLY TAKE GOVT2306 IF YOU GET HER. SHE'S THE BEST!"| "1.0, 1.0"
